Customer_ID,Name,Age,Gender,Phone_Number,Email,Address,City,State,Pincode,Bank_Balance,CIBIL_Score,Existing_Loans,Loan_Amount_Requested,Loan_Tenure_Months,Monthly_Income,Income_Source,Employment_Type,Other_Loans,EMI_Existing_Loans,Loan_Status
dd2936d3-c2e7-4d9c-bda8-afafbc80e949,Yug Prasad,55,Male,+916696767033,ekta31@example.org,"39/768, Konda Road, Chapra-618863",Ramgarh,Odisha,353180,1174657,664,No,405796,36,138089,Salary,Self-employed,0,0,Approved
25a75e63-ea9e-4c04-92c1-7d20023df1e0,Simon Gera,41,Female,8476649845,xsankar@example.net,"H.No. 91, Ganesh Nagar, Khora -231192",Chittoor,Chhattisgarh,060074,187496,512,Yes,861847,12,24747,Freelance,Salaried,433985,47987,Approved
8aafdd84-e8a4-4a98-8000-55d5887b0bd1,Tristan Sachar,27,Male,09686629799,yohannansaksham@example.net,"H.No. 335, Chanda Chowk, Raurkela Industrial Township-768958",Morbi,Karnataka,048613,1655554,830,No,898759,60,186473,Salary,Self-employed,0,0,Approved
229e7d5a-25f3-4ec5-999f-2c11f1c0908e,Vyanjana Wali,50,Female,0007053746,janyadara@example.net,"18/94, Johal Street, Kumbakonam-508521",Pallavaram,Odisha,462634,172771,438,Yes,237101,24,35241,Business,Self-employed,193387,31562,Approved
9a9782b9-f262-449b-9b84-ce624fdbe682,Anvi Tailor,24,Male,+914182082550,duttaleela@example.com,"35/241, Ramanathan Ganj, Dindigul 925039",Navi Mumbai,Karnataka,286606,1977648,309,No,681530,12,271647,Business,Salaried,0,0,Approved
952b76d9-65bf-485c-b820-e343af655ea6,Ansh Narasimhan,49,Male,+917026139920,azad23@example.net,"82, Morar Marg, Bhopal-260838",Haldia,Jharkhand,294890,152903,639,No,733367,36,116205,Salary,Salaried,0,0,Approved
df0d8285-bd9a-4032-9b93-37dbfa5928a2,Bhavani Varma,47,Female,+917941912457,kabir71@example.org,"95, Reddy Marg, Tenali-020289",Bhatpara,Chhattisgarh,889984,267324,502,No,467877,60,153712,Business,Self-employed,0,0,Rejected
37de8373-36f6-49c1-9341-2981334eb779,Vasana Ravi,59,Male,09816782631,ghoseshivani@example.org,"31/96, Rastogi Ganj, Thane-361497",Kozhikode,Odisha,028232,1789200,424,No,118340,48,245242,Salary,Self-employed,0,0,Rejected
547b3aee-42c2-4913-b296-71b6c7bd81d9,Upadhriti Sankaran,57,Male,+912652002607,girindramadan@example.com,"731, Atwal, Machilipatnam-483678",Suryapet,Karnataka,203536,564227,854,No,555136,24,33896,Salary,Self-employed,0,0,Approved
f4b173fb-a192-4449-88ff-e67aacb1bd86,Diya Srinivasan,53,Female,00465981657,lrandhawa@example.org,"H.No. 532, Mandal Chowk, Amritsar-520187",Silchar,Gujarat,137315,938046,337,Yes,934732,48,69076,Rental,Salaried,244878,39025,Rejected
c314f7ca-41a4-4df0-9d67-dd2b0044a44f,Advika Bora,61,Male,05655976368,simon85@example.org,"H.No. 245, Misra Ganj, Amroha 964444",Ramagundam,West Bengal,625264,1732471,888,No,601306,60,105285,Business,Self-employed,0,0,Approved
cfac7065-8de4-4169-9ab9-a1da98a34721,Anvi Barad,22,Female,+919218997143,abha10@example.com,"H.No. 43, Majumdar Circle, Bhusawal 113331",Pallavaram,Telangana,132440,325919,677,No,446166,24,39133,Salary,Self-employed,0,0,Rejected
c538ce05-1caa-4c65-a835-49c494fb9c2a,Naveen Seth,44,Male,07194240029,saxenawyatt@example.net,"H.No. 788, Narayanan Circle, Thoothukudi-335421",Kharagpur,Haryana,744804,1194593,639,Yes,75249,12,111661,Freelance,Salaried,367978,24193,Rejected
7af99af6-f85d-4269-89e2-c41e9bbcc3d5,Qarin Suri,30,Female,07208047993,parmarxavier@example.com,"28/15, Sanghvi Chowk, Tiruvottiyur-020456",Bihar Sharif,Sikkim,322203,860737,509,No,650750,60,161763,Business,Salaried,0,0,Approved
1243e578-c4ca-45b8-9ccf-7acbf182ba67,Dhruv Mann,53,Male,4293103389,saranadvik@example.org,"H.No. 64, Yadav Ganj, Purnia-676552",Nangloi Jat,Punjab,931653,1508011,875,No,857361,24,184507,Rental,Salaried,0,0,Approved
bc90cd90-cf6b-40df-8051-bc2924f4e795,Naveen Kibe,40,Female,+918777991154,wriddhishkurian@example.org,"H.No. 37, Chadha Chowk, Medininagar 488737",Bhusawal,Rajasthan,502591,217174,414,No,156642,24,74167,Business,Self-employed,0,0,Approved
fa40971c-6f1b-4a8e-bf3c-94d3c49e2b18,Varsha Chopra,57,Male,+915713032904,narasimhanchaaya@example.net,"737, Kala Zila, Hyderabad 673374",Varanasi,Karnataka,352626,89284,666,Yes,483259,36,273523,Freelance,Salaried,194706,34886,Rejected
83b890a4-55f8-4314-9bb1-c4fdc458e922,Laksh Basak,39,Male,2723776223,ybhandari@example.com,"59/474, Kale Ganj, Proddatur-774492",Bihar Sharif,Madhya Pradesh,078821,320336,569,No,198746,36,244283,Business,Salaried,0,0,Rejected
35170e25-3ec0-4d73-bd21-ef3a94308555,Chanchal Sundaram,64,Male,9378509607,zashil68@example.org,"07/83, Dhawan Circle, Ambala 751805",Panipat,Bihar,918108,1548172,335,Yes,477461,24,144965,Business,Self-employed,39781,27998,Approved
f8244580-ff7f-474d-a833-5d12ea101d69,Radha Bala,27,Male,6965085711,dayitakapoor@example.org,"56/62, Mani Chowk, Etawah-698915",Srinagar,Gujarat,220995,53458,827,Yes,593650,12,81379,Salary,Salaried,78603,22694,Rejected
d03eaec6-d065-4de5-9992-7ccbe7694c8c,Krishna Lanka,49,Male,9645762319,tanay19@example.com,"77, Mishra Chowk, Tumkur-952478",Aligarh,Uttar Pradesh,284082,1686790,381,Yes,685529,60,76497,Freelance,Self-employed,280243,40006,Approved
d570b488-3155-419d-aec4-2575b10f164f,Balhaar Wable,55,Male,9699147737,bahriabhimanyu@example.com,"H.No. 026, Sandhu Path, Uluberia-876364",Burhanpur,Bihar,609651,791999,717,No,744611,48,91182,Rental,Salaried,0,0,Rejected
3a6913b8-6c10-4838-95cc-eb0c2176dd3c,Lakshit Khurana,36,Male,+912449695458,lchandran@example.com,"625, Wagle Nagar, Hospet-628586",Guntakal,Uttar Pradesh,134206,823986,896,Yes,583933,60,24891,Business,Salaried,454327,33904,Rejected
5d833387-ef74-48ef-a9da-e9c4b1057da0,Lipika Tella,59,Male,2640623845,bahllakshmi@example.com,"519, Parikh Nagar, Salem 834791",Nizamabad,Maharashtra,674854,986549,586,No,139174,60,104658,Business,Self-employed,0,0,Rejected
23febcbb-47f0-4904-a94f-3d54169bac84,Gaurav Panchal,33,Male,4828867646,wahab88@example.net,"24/92, Khare, Asansol 347011",Kakinada,Chhattisgarh,929303,1670304,510,Yes,844084,12,205597,Rental,Salaried,88815,15688,Rejected
5ca0d416-c73e-41c8-a7ce-90ec8d009f0b,Lipika Doshi,34,Female,+914423936225,bainsdiya@example.com,"H.No. 99, Mutti Nagar, Ramagundam 835745",Madanapalle,Madhya Pradesh,518249,1712482,574,Yes,278937,60,167324,Business,Self-employed,398332,29107,Approved
